,GAME_ID,GAME_DATE,MATCHUP,WL,PTS,PLUS_MINUS,TEAM,OPPONENT
1,0022400061,2024-10-22,BOS vs. NYK,W,132,23,BOS,NYK
3,0022400062,2024-10-22,LAL vs. MIN,W,110,7,LAL,MIN
6,0022400067,2024-10-23,TOR vs. CLE,L,106,-30,TOR,CLE
7,0022400065,2024-10-23,MIA vs. ORL,L,97,-19,MIA,ORL
8,0022400066,2024-10-23,PHI vs. MIL,L,109,-15,PHI,MIL
9,0022400068,2024-10-23,HOU vs. CHA,L,105,-5,HOU,CHA
10,0022400072,2024-10-23,POR vs. GSW,L,104,-36,POR,GSW
15,0022400063,2024-10-23,DET vs. IND,L,109,-6,DET,IND
16,0022400070,2024-10-23,UTA vs. MEM,L,124,-2,UTA,MEM
18,0022400069,2024-10-23,NOP vs. CHI,W,123,12,NOP,CHI
19,0022400064,2024-10-23,ATL vs. BKN,W,120,4,ATL,BKN
20,0022400071,2024-10-23,LAC vs. PHX,L,113,-3,LAC,PHX
26,0022400073,2024-10-24,WAS vs. BOS,L,102,-20,WAS,BOS
28,0022400075,2024-10-24,DEN vs. OKC,L,87,-15,DEN,OKC
30,0022400076,2024-10-24,SAC vs. MIN,L,115,-2,SAC,MIN
31,0022400074,2024-10-24,DAL vs. SAS,W,120,11,DAL,SAS
32,0022400085,2024-10-25,LAL vs. PHX,W,123,7,LAL,PHX
33,0022400077,2024-10-25,ORL vs. BKN,W,116,15,ORL,BKN
35,0022400082,2024-10-25,HOU vs. MEM,W,128,20,HOU,MEM
39,0022400083,2024-10-25,MIL vs. CHI,L,122,-11,MIL,CHI
40,0022400081,2024-10-25,NYK vs. IND,W,123,25,NYK,IND
42,0022400086,2024-10-25,POR vs. NOP,L,103,-2,POR,NOP
45,0022400080,2024-10-25,CLE vs. DET,W,113,12,CLE,DET
48,0022400079,2024-10-25,ATL vs. CHA,W,125,5,ATL,CHA
49,0022400078,2024-10-25,TOR vs. PHI,W,115,8,TOR,PHI
51,0022400084,2024-10-25,UTA vs. GSW,L,86,-41,UTA,GSW
52,0022400089,2024-10-26,DET vs. BOS,L,118,-6,DET,BOS
53,0022400090,2024-10-26,WAS vs. CLE,L,116,-19,WAS,CLE
54,0022400093,2024-10-26,MIN vs. TOR,W,112,11,MIN,TOR
55,0022400091,2024-10-26,CHI vs. OKC,L,95,-19,CHI,OKC
60,0022400096,2024-10-26,LAL vs. SAC,W,131,4,LAL,SAC
63,0022400088,2024-10-26,CHA vs. MIA,L,106,-8,CHA,MIA
65,0022400087,2024-10-26,DEN vs. LAC,L,104,-5,DEN,LAC
67,0022400094,2024-10-26,SAS vs. HOU,W,109,3,SAS,HOU
69,0022400092,2024-10-26,MEM vs. ORL,W,124,13,MEM,ORL
70,0022400095,2024-10-26,PHX vs. DAL,W,114,12,PHX,DAL
74,0022400101,2024-10-27,GSW vs. LAC,L,104,-8,GSW,LAC
75,0022400099,2024-10-27,POR vs. NOP,W,125,22,POR,NOP
77,0022400097,2024-10-27,IND vs. PHI,L,114,-4,IND,PHI
79,0022400100,2024-10-27,OKC vs. ATL,W,128,24,OKC,ATL
80,0022400098,2024-10-27,BKN vs. MIL,W,115,13,BKN,MIL
83,0022400111,2024-10-28,PHX vs. LAL,W,109,4,PHX,LAL
86,0022400103,2024-10-28,ATL vs. WAS,L,119,-2,ATL,WAS
91,0022400112,2024-10-28,SAC vs. POR,W,111,13,SAC,POR
92,0022400110,2024-10-28,DAL vs. UTA,W,110,8,DAL,UTA
93,0022400108,2024-10-28,MEM vs. CHI,L,123,-3,MEM,CHI
95,0022400107,2024-10-28,TOR vs. DEN,L,125,-2,TOR,DEN
96,0022400104,2024-10-28,BOS vs. MIL,W,119,11,BOS,MIL
97,0022400102,2024-10-28,ORL vs. IND,W,119,4,ORL,IND
99,0022400105,2024-10-28,MIA vs. DET,W,106,8,MIA,DET
101,0022400106,2024-10-28,NYK vs. CLE,L,104,-6,NYK,CLE
102,0022400109,2024-10-28,SAS vs. HOU,L,101,-5,SAS,HOU
106,0022400113,2024-10-29,BKN vs. DEN,L,139,-5,BKN,DEN
108,0022400116,2024-10-29,GSW vs. NOP,W,124,18,GSW,NOP
109,0022400115,2024-10-29,UTA vs. SAC,L,96,-17,UTA,SAC
110,0022400114,2024-10-29,MIN vs. DAL,L,114,-6,MIN,DAL
